NTA_Name,NTA_Code,TotalPop,Hispanic,WhiteNonHisp,BlackNonHisp,AsianPI,OtherRace,Poverty,EduLessThanHS,PrematureMortality,PretermBirths,SMM,HIV,HepB,HepC,TB
Park Slope-Gowanus,BK37,74526,18.5,65.1,5.2,6.7,4.6,7.6,7.5,88.7,7,143.2,14.8,29.4,55,0.4
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,39383,21.5,44.2,21.2,10.3,2.9,21.2,14.6,202.6,9.5,192.8,24.2,57.2,127,5.9
Windsor Terrace,BK40,22033,14.3,66.2,5.4,10.9,3.3,10.2,9.5,111.1,6,182.9,13.4,29.3,49.2,3
Kensington-Ocean Parkway,BK41,37013,16.2,49.8,6.9,23.3,3.7,25.4,19.2,141.9,9.3,180.6,5.3,127.6,92.2,11.7
Flatbush,BK42,106012,17.7,22.2,47.5,9.8,2.8,20.6,20.3,176,10.5,305.2,27.1,71.8,89.2,11.6
Midwood,BK43,52519,7.5,76.1,4.4,10.6,1.4,23.3,13.9,129.8,6.4,143.7,9.3,111.6,112.2,3.8
Madison,BK44,40609,7.8,67.5,1,22.5,1.2,14.2,14.4,115.8,7.1,202.4,2.4,94.5,117.1,5.7
Georgetown-Marine Park-Bergen Beach-Mill Basin,BK45,48103,9.1,70.2,12.3,6.7,1.7,7.7,9,124.1,8.4,223.3,4.2,24.6,63.9,1.4
Ocean Parkway South,BK46,20143,8.6,85.5,0.3,4.1,1.4,19.8,13.9,99.3,6.5,127.4,4.9,45.3,62.6,5
Canarsie,BK50,87511,7.9,4.9,82.5,3,1.7,15.2,16.3,159.7,13.6,445.8,35,57,63.6,8.4
Flatlands,BK58,72864,7.9,16.5,70.3,3.7,1.6,11.4,13.6,121.2,11.9,395.4,22.9,49.6,46.4,5.9
Prospect Lefferts Gardens-Wingate,BK60,69695,9.6,11.7,74.2,2.2,2.3,23.4,18.2,190.7,11,370.9,41.8,60.1,86.6,9.1
Crown Heights North,BK61,103735,12.1,12.8,69.9,2.7,2.4,29.1,20.9,244.4,11.5,372.5,52,56.2,149.8,4.8
Crown Heights South,BK63,41128,8.2,26.4,62.5,1.2,1.5,21.2,16.1,186.9,8.1,234.6,44,59.5,80.5,4.9
Prospect Heights,BK64,20228,10.5,51.1,26.5,7.8,4,9.9,7.1,114.3,8.5,179.8,24,28.9,51.9,6.6
Fort Greene,BK68,28721,21.5,28.2,37.8,8.8,3.6,24.1,18.1,221.7,10.2,236.7,49.2,58.8,90.3,8.1
Clinton Hill,BK69,37795,13.8,38.4,37.8,5.7,4.2,19.4,8.7,175.5,8.1,231,45.2,31.6,100.5,5.3
Williamsburg,BK72,32094,11,85.4,3.1,0.1,0.5,56.5,30.5,140.5,4.5,79.1,9.1,19.4,52.1,1
North Side-South Side,BK73,50995,35.6,53.2,2.4,5.9,2.9,22.5,16.5,137.4,6.6,158.7,16.9,38.6,96.8,3.3
Bedford,BK75,71706,19.3,30.6,45.4,2.7,2,34.3,22.5,244.8,8,235.5,48.2,43.6,104.1,4.2
Greenpoint,BK76,32185,12.3,77.7,1.8,5.4,2.9,12.5,9.4,173.1,7.3,124.2,14.6,23.4,96.9,4.1
Bushwick North,BK77,63458,71.7,12.1,9.5,6,0.8,31,45.9,149.2,8.7,320.3,24.4,38.4,79.2,11
